대우,,,,NNP,*,F,대우,*,*,*,*,*
구글,,,,NNP,*,T,구글,*,*,*,*,*
총장,,,,NNP,*,T,총장,*,*,*,*,*
건학위원회,,,,NNP,*,F,건학위원회,*,*,*,*,*
정각원,,,,NNP,*,T,정각원,*,*,*,*,*
행정팀,,,,NNP,*,T,행정팀,*,*,*,*,*
비서실,,,,NNP,*,T,비서실,*,*,*,*,*
비서팀,,,,NNP,*,T,비서팀,*,*,*,*,*
소통홍보팀,,,,NNP,*,T,소통홍보팀,*,*,*,*,*
IR팀,,,,NNP,*,T,IR팀,*,*,*,*,*
T.F,,,,SL,*,F,T.F,*,*,*,*,*
대학혁신지원사업단,,,,NNP,*,T,대학혁신지원사업단,*,*,*,*,*
대학기본역량진단준비단,,,,NNP,*,T,대학기본역량진단준비단,*,*,*,*,*
캠퍼스타운사업단,,,,NNP,*,T,캠퍼스타운사업단,*,*,*,*,*
취업박람회 추진위원회,,,,NNP,*,F,취업박람회 추진위원회,*,*,*,*,*
기획부총장,,,,NNP,*,T,기획부총장,*,*,*,*,*
기획처,,,,NNP,*,F,기획처,*,*,*,*,*
기획예산실,,,,NNP,*,T,기획예산실,*,*,*,*,*
평가감사실,,,,NNP,*,T,평가감사실,*,*,*,*,*
대외협력처,,,,NNP,*,F,대외협력처,*,*,*,*,*
대외협력실,,,,NNP,*,T,대외협력실,*,*,*,*,*
총무처,,,,NNP,*,F,총무처,*,*,*,*,*
총무팀,,,,NNP,*,T,총무팀,*,*,*,*,*
재무팀,,,,NNP,*,T,재무팀,*,*,*,*,*
구매팀,,,,NNP,*,T,구매팀,*,*,*,*,*
관리처,,,,NNP,*,F,관리처,*,*,*,*,*
시설팀,,,,NNP,*,T,시설팀,*,*,*,*,*
자산팀,,,,NNP,*,T,자산팀,*,*,*,*,*
미래캠퍼스개발추진팀,,,,NNP,*,T,미래캠퍼스개발추진팀,*,*,*,*,*
캠퍼스안전팀,,,,NNP,*,T,캠퍼스안전팀,*,*,*,*,*
정보처,,,,NNP,*,F,정보처,*,*,*,*,*
정보인프라팀,,,,NNP,*,T,정보인프라팀,*,*,*,*,*
정보운영팀,,,,NNP,*,F,정보운영팀,*,*,*,*,*
국제처,,,,NNP,*,F,국제처,*,*,*,*,*
글로벌교류팀,,,,NNP,*,T,글로벌교류팀,*,*,*,*,*
글로벌입학팀,,,,NNP,*,T,글로벌입학팀,*,*,*,*,*
글로벌인재지원팀,,,,NNP,*,T,글로벌인재지원팀,*,*,*,*,*
BMC행정처,,,,NNP,*,F,BMC행정처,*,*,*,*,*
BMC종합행정실,,,,NNP,*,T,BMC종합행정실,*,*,*,*,*
부속교육기관,,,,NNP,*,T,부속교육기관,*,*,*,*,*
한국어교육원,,,,NNP,*,T,한국어교육원,*,*,*,*,*
대학미디어센터,,,,NNP,*,F,대학미디어센터,*,*,*,*,*
데이터분석센터,,,,NNP,*,F,데이터분석센터,*,*,*,*,*
교무부총장,,,,NNP,*,T,교무부총장,*,*,*,*,*
전문대학원,,,,NNP,*,T,전문대학원,*,*,*,*,*
영상대학원,,,,NNP,*,T,영상대학원,*,*,*,*,*
불교대학원,,,,NNP,*,T,불교대학원,*,*,*,*,*
행정대학원,,,,NNP,*,T,행정대학원,*,*,*,*,*
교육대학원,,,,NNP,*,T,교육대학원,*,*,*,*,*
문화에술대학원,,,,NNP,*,T,문화에술대학원,*,*,*,*,*
언론정보대학원,,,,NNP,*,T,언론정보대학원,*,*,*,*,*
국제정보보호대학원,,,,NNP,*,T,국제정보보호대학원,*,*,*,*,*
법무대학원,,,,NNP,*,T,법무대학원,*,*,*,*,*
경찰사법대학원,,,,NNP,*,T,경찰사법대학원,*,*,*,*,*
교육서비스과학대학원,,,,NNP,*,T,교육서비스과학대학원,*,*,*,*,*
미래융합대학원,,,,NNP,*,T,미래융합대학원,*,*,*,*,*
단과대학 부설 연구기관,,,,NNP,*,T,단과대학 부설 연구기관,*,*,*,*,*
불교대학,,,,NNP,*,T,불교대학,*,*,*,*,*
문과대학,,,,NNP,*,T,문과대학,*,*,*,*,*
이과대학,,,,NNP,*,T,이과대학,*,*,*,*,*
법과대학,,,,NNP,*,T,법과대학,*,*,*,*,*
사회과학대학,,,,NNP,*,T,사회과학대학,*,*,*,*,*
경찰사법대학,,,,NNP,*,T,경찰사법대학,*,*,*,*,*
경영대학,,,,NNP,*,T,경영대학,*,*,*,*,*
바이오시스템대학,,,,NNP,*,T,바이오시스템대학,*,*,*,*,*
공과대학,,,,NNP,*,T,공과대학,*,*,*,*,*
AI융합대학,,,,NNP,*,T,AI융합대학,*,*,*,*,*
사범대학,,,,NNP,*,T,사범대학,*,*,*,*,*
예술대학,,,,NNP,*,T,예술대학,*,*,*,*,*
약학대학,,,,NNP,*,T,약학대학,*,*,*,*,*
미래융합대학,,,,NNP,*,T,미래융합대학,*,*,*,*,*
다르마칼리지,,,,NNP,*,F,다르마칼리지,*,*,*,*,*
교육혁신처,,,,NNP,*,F,교육혁신처,*,*,*,*,*
교육혁신센터,,,,NNP,*,F,교육혁신센터,*,*,*,*,*
교수학습개발센터,,,,NNP,*,F,교수학습개발센터,*,*,*,*,*
역량개발센터,,,,NNP,*,F,역량개발센터,*,*,*,*,*
참사람사회공헌센터,,,,NNP,*,F,참사람사회공헌센터,*,*,*,*,*
교무학생처,,,,NNP,*,F,교무학생처,*,*,*,*,*
교무학생지원팀,,,,NNP,*,T,교무학생지원팀,*,*,*,*,*
취업센터,,,,NNP,*,F,취업센터,*,*,*,*,*
카운슬링센터,,,,NNP,*,F,카운슬링센터,*,*,*,*,*
입학처,,,,NNP,*,F,입학처,*,*,*,*,*
입학실,,,,NNP,*,T,입학실,*,*,*,*,*
중앙도서관,,,,NNP,*,T,중앙도서관,*,*,*,*,*
학술정보관리팀,,,,NNP,*,T,학술정보관리팀,*,*,*,*,*
학술정보서비스팀,,,,NNP,*,T,학술정보서비스팀,*,*,*,*,*
만해마을캠퍼스 교육원,,,,NNP,*,T,만해마을캠퍼스 교육원,*,*,*,*,*
과학영재교육원,,,,NNP,*,T,과학영재교육원,*,*,*,*,*
미래융합대학부설 미래융합교육원,,,,NNP,*,T,미래융합대학부설 미래융합교육원,*,*,*,*,*
미래융합대학부설 원격미래융합교육원,,,,NNP,*,T,미래융합대학부설 원격미래융합교육원,*,*,*,*,*
AI융합대학 부설 융합교육원,,,,NNP,*,T,AI융합대학 부설 융합교육원,*,*,*,*,*
건강증진센터,,,,NNP,*,F,건강증진센터,*,*,*,*,*
바이오자원생태농장,,,,NNP,*,T,바이오자원생태농장,*,*,*,*,*
학술팀관리소,,,,NNP,*,F,학술팀관리소,*,*,*,*,*
대학스포츠실,,,,NNP,*,T,대학스포츠실,*,*,*,*,*
공학교육혁신센터,,,,NNP,*,F,공학교육혁신센터,*,*,*,*,*
인권장애학생 지원센터,,,,NNP,*,F,인권장애학생 지원센터,*,*,*,*,*
2기 대학혁신지원사업 어젠다발굴위원회,,,,NNP,*,F,2기 대학혁신지원사업 어젠다발굴위원회,*,*,*,*,*
제112학군단,,,,NNP,*,T,제112학군단,*,*,*,*,*
연구부총장,,,,NNP,*,T,연구부총장,*,*,*,*,*
연구처,,,,NNP,*,F,연구처,*,*,*,*,*
연구기획실,,,,NNP,*,T,연구기획실,*,*,*,*,*
연구역량지원실,,,,NNP,*,T,연구역량지원실,*,*,*,*,*
일반대학원 학사운영실,,,,NNP,*,T,일반대학원 학사운영실,*,*,*,*,*
LINC+,,,,SL,*,F,LINC+,*,*,*,*,*
