약학대학,1786,3546,2953,NNP,*,T,약학대학,*,*,*,*,*
미래융합대학,1786,3546,2953,NNP,*,T,미래융합대학,*,*,*,*,*
다르마칼리지,1786,3545,2953,NNP,*,F,다르마칼리지,*,*,*,*,*
교육혁신처,1786,3545,2953,NNP,*,F,교육혁신처,*,*,*,*,*
교육혁신센터,1786,3545,2953,NNP,*,F,교육혁신센터,*,*,*,*,*
교수학습개발센터,1786,3545,2953,NNP,*,F,교수학습개발센터,*,*,*,*,*
역량개발센터,1786,3545,2953,NNP,*,F,역량개발센터,*,*,*,*,*
참사람사회공헌센터,1786,3545,2953,NNP,*,F,참사람사회공헌센터,*,*,*,*,*
교무학생처,1786,3545,2953,NNP,*,F,교무학생처,*,*,*,*,*
교무학생지원팀,1786,3546,2953,NNP,*,T,교무학생지원팀,*,*,*,*,*
취업센터,1786,3545,2953,NNP,*,F,취업센터,*,*,*,*,*
카운슬링센터,1786,3545,2953,NNP,*,F,카운슬링센터,*,*,*,*,*
입학처,1786,3545,2953,NNP,*,F,입학처,*,*,*,*,*
입학실,1786,3546,2953,NNP,*,T,입학실,*,*,*,*,*
중앙도서관,1786,3546,2953,NNP,*,T,중앙도서관,*,*,*,*,*
학술정보관리팀,1786,3546,2953,NNP,*,T,학술정보관리팀,*,*,*,*,*
학술정보서비스팀,1786,3546,2953,NNP,*,T,학술정보서비스팀,*,*,*,*,*
만해마을캠퍼스 교육원,1786,3546,2953,NNP,*,T,만해마을캠퍼스 교육원,*,*,*,*,*
과학영재교육원,1786,3546,2953,NNP,*,T,과학영재교육원,*,*,*,*,*
미래융합대학부설 미래융합교육원,1786,3546,2953,NNP,*,T,미래융합대학부설 미래융합교육원,*,*,*,*,*
미래융합대학부설 원격미래융합교육원,1786,3546,2953,NNP,*,T,미래융합대학부설 원격미래융합교육원,*,*,*,*,*
AI융합대학 부설 융합교육원,1786,3546,2953,NNP,*,T,AI융합대학 부설 융합교육원,*,*,*,*,*
